"site","Latitude","Longitude","o3","year"
"London Canvey",51.53308,0.567837,28.884136,1980
"Central London",51.494722,-0.138333,18.359763,1980
"London Harrow",51.57389,-0.352051,25.058496,1980
"Sibton",52.2944,1.463497,32.884893,1980
"Stevenage",51.886944,-0.200833,19.433739,1980
"Bottesford",52.93028,-0.814722,37.823412,1981
"Central London",51.494722,-0.138333,14.860515,1981
"Sibton",52.2944,1.463497,48.794156,1981
"Stevenage",51.886944,-0.200833,14.089051,1981
"Bottesford",52.93028,-0.814722,44.731254,1982
"Central London",51.494722,-0.138333,17.948146,1982
"Sibton",52.2944,1.463497,50.562374,1982
"Stevenage",51.886944,-0.200833,34.773521,1982
"Bottesford",52.93028,-0.814722,43.150963,1983
"Central London",51.494722,-0.138333,20.636621,1983
"Harwell",51.571078,-1.325283,67.678413,1983
"Sibton",52.2944,1.463497,54.959212,1983
"Stevenage",51.886944,-0.200833,40.085342,1983
"Bottesford",52.93028,-0.814722,41.577125,1984
"Central London",51.494722,-0.138333,22.854076,1984
"Harwell",51.571078,-1.325283,52.026514,1984
"Sibton",52.2944,1.463497,45.041494,1984
"Stevenage",51.886944,-0.200833,40.004051,1984
"Bottesford",52.93028,-0.814722,40.722695,1985
"Central London",51.494722,-0.138333,32.51466,1985
"Harwell",51.571078,-1.325283,54.144816,1985
"Sibton",52.2944,1.463497,35.437377,1985
"Stevenage",51.886944,-0.200833,29.041061,1985
"Wharleycroft",54.616238,-2.468931,87.147727,1985
"Wray",54.104666,-2.584182,55.752063,1985
"Aston Hill",52.50385,-3.034178,49.931989,1986
"Bottesford",52.93028,-0.814722,46.084368,1986
"Central London",51.494722,-0.138333,20.915862,1986
"Great Dun Fell",54.684233,-2.450799,44.167716,1986
"Harwell",51.571078,-1.325283,46.645479,1986
"Lullington Heath",50.7937,0.18125,37.919094,1986
"Stevenage",51.886944,-0.200833,26.744809,1986
"Wharleycroft",54.616238,-2.468931,30.848696,1986
"Wray",54.104666,-2.584182,53.121857,1986
"Aston Hill",52.50385,-3.034178,48.895968,1987
"Bottesford",52.93028,-0.814722,37.961101,1987
"Central London",51.494722,-0.138333,9.826647,1987
"Great Dun Fell",54.684233,-2.450799,57.080161,1987
"Harwell",51.571078,-1.325283,41.781367,1987
"High Muffles",54.334497,-0.80882,36.376465,1987
"Lullington Heath",50.7937,0.18125,46.707999,1987
"Sibton",52.2944,1.463497,43.107776,1987
"Stevenage",51.886944,-0.200833,20.745661,1987
"Wharleycroft",54.616238,-2.468931,38.362325,1987
"Wray",54.104666,-2.584182,49.369856,1987
"Yarner Wood",50.5976,-3.71651,42.796683,1987
"Aston Hill",52.50385,-3.034178,60.679823,1988
"Bottesford",52.93028,-0.814722,32.954628,1988
"Central London",51.494722,-0.138333,14.443381,1988
"Great Dun Fell",54.684233,-2.450799,60.315953,1988
"Glazebury",53.46008,-2.472056,39.928364,1988
"Harwell",51.571078,-1.325283,48.155674,1988
"High Muffles",54.334497,-0.80882,48.788308,1988
"Ladybower",53.40337,-1.752006,46.982206,1988
"Lullington Heath",50.7937,0.18125,54.413802,1988
"Sibton",52.2944,1.463497,48.094126,1988
"Stevenage",51.886944,-0.200833,24.175881,1988
"Wharleycroft",54.616238,-2.468931,49.33777,1988
"Wray",54.104666,-2.584182,50.804896,1988
"Yarner Wood",50.5976,-3.71651,57.41359,1988
"Aston Hill",52.50385,-3.034178,61.717058,1989
"Bottesford",52.93028,-0.814722,32.903321,1989
"Central London",51.494722,-0.138333,20.306427,1989
"Great Dun Fell",54.684233,-2.450799,61.439951,1989
"Glazebury",53.46008,-2.472056,34.610308,1989
"Harwell",51.571078,-1.325283,42.262687,1989
"High Muffles",54.334497,-0.80882,52.351466,1989
"Ladybower",53.40337,-1.752006,52.313848,1989
"Lullington Heath",50.7937,0.18125,61.21599,1989
"Sibton",52.2944,1.463497,49.743794,1989
"Stevenage",51.886944,-0.200833,25.222419,1989
"Wharleycroft",54.616238,-2.468931,51.882322,1989
"Yarner Wood",50.5976,-3.71651,63.289757,1989
"Aston Hill",52.50385,-3.034178,66.019508,1990
"Bottesford",52.93028,-0.814722,35.795744,1990
"London Bridge Place",51.49521,-0.141655,19.259535,1990
"Central London",51.494722,-0.138333,23.124107,1990
"Great Dun Fell",54.684233,-2.450799,63.58611,1990
"Glazebury",53.46008,-2.472056,37.167695,1990
"Harwell",51.571078,-1.325283,49.801675,1990
"High Muffles",54.334497,-0.80882,52.748324,1990
"Ladybower",53.40337,-1.752006,52.023928,1990
"Lullington Heath",50.7937,0.18125,64.03788,1990
"Sibton",52.2944,1.463497,50.788264,1990
"Stevenage",51.886944,-0.200833,30.595872,1990
"Wharleycroft",54.616238,-2.468931,53.444217,1990
"Yarner Wood",50.5976,-3.71651,66.493935,1990
"Aston Hill",52.50385,-3.034178,56.472638,1991
"Bottesford",52.93028,-0.814722,33.007582,1991
"London Bridge Place",51.49521,-0.141655,19.279751,1991
"Great Dun Fell",54.684233,-2.450799,58.153865,1991
"Glazebury",53.46008,-2.472056,37.426396,1991
"Harwell",51.571078,-1.325283,48.450417,1991
"High Muffles",54.334497,-0.80882,54.477581,1991
"Ladybower",53.40337,-1.752006,51.567256,1991
"Lullington Heath",50.7937,0.18125,49.807072,1991
"Sibton",52.2944,1.463497,54.851389,1991
"Stevenage",51.886944,-0.200833,26.170126,1991
"Wharleycroft",54.616238,-2.468931,61.485775,1991
"Yarner Wood",50.5976,-3.71651,60.139378,1991
"Aston Hill",52.50385,-3.034178,60.336334,1992
"Birmingham Centre",52.479724,-1.908078,30.263605,1992
"Bottesford",52.93028,-0.814722,29.586143,1992
"London Bridge Place",51.49521,-0.141655,21.613439,1992
"Cardiff Centre",51.48178,-3.17625,27.533061,1992
"London Bloomsbury",51.52229,-0.125889,19.08226,1992
"Great Dun Fell",54.684233,-2.450799,61.856102,1992
"Glazebury",53.46008,-2.472056,35.719168,1992
"Harwell",51.571078,-1.325283,52.88543,1992
"High Muffles",54.334497,-0.80882,58.464891,1992
"Ladybower",53.40337,-1.752006,46.220076,1992
"Lullington Heath",50.7937,0.18125,57.885925,1992
"Newcastle Centre",54.97825,-1.610528,29.346242,1992
"Sibton",52.2944,1.463497,51.60386,1992
"Stevenage",51.886944,-0.200833,28.290661,1992
"Wharleycroft",54.616238,-2.468931,56.887481,1992
"Yarner Wood",50.5976,-3.71651,58.680253,1992
"Aston Hill",52.50385,-3.034178,59.774021,1993
"Birmingham East",52.49763,-1.831498,29.239398,1993
"Birmingham Centre",52.479724,-1.908078,28.564211,1993
"Bottesford",52.93028,-0.814722,29.673643,1993
"London Bridge Place",51.49521,-0.141655,22.118838,1993
"Bristol Centre",51.45718,-2.585622,30.941679,1993
"Cardiff Centre",51.48178,-3.17625,29.722182,1993
"London Bloomsbury",51.52229,-0.125889,18.14372,1993
"Great Dun Fell",54.684233,-2.450799,62.749971,1993
"Glazebury",53.46008,-2.472056,31.741928,1993
"Harwell",51.571078,-1.325283,48.76521,1993
"High Muffles",54.334497,-0.80882,57.344356,1993
"Ladybower",53.40337,-1.752006,48.685148,1993
"Leeds Centre",53.80378,-1.546472,24.968602,1993
"Lullington Heath",50.7937,0.18125,55.605544,1993
"Liverpool Centre",53.40845,-2.980249,27.063276,1993
"Newcastle Centre",54.97825,-1.610528,30.0166,1993
"Sibton",52.2944,1.463497,53.206686,1993
"Stevenage",51.886944,-0.200833,30.624346,1993
"Wharleycroft",54.616238,-2.468931,54.893581,1993
